keyword,returned,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
headphones,True,True,368000,2.03,HIGH,,368000,450000,368000,301000,450000,450000,368000,301000,301000,301000,246000,246000
noise cancelling headphones,True,True,165000,1.85,HIGH,,246000,165000,165000,165000,201000,246000,165000,135000,135000,135000,135000,201000
earbuds,True,True,165000,2,HIGH,,165000,165000,135000,135000,201000,201000,135000,135000,135000,135000,135000,135000
bone conduction headphones,True,True,74000,2.06,HIGH,,90500,74000,74000,90500,90500,90500,74000,74000,74000,74000,74000,74000
hearing aids,True,True,165000,5.42,HIGH,,201000,201000,201000,201000,201000,165000,165000,165000,165000,165000,165000,135000
white noise machine,True,True,74000,1.35,HIGH,,60500,49500,90500,90500,90500,110000,74000,60500,60500,49500,60500,60500
sleep mask,True,True,60500,2.43,HIGH,,60500,60500,49500,49500,74000,74000,60500,49500,49500,49500,49500,60500
ear plugs,True,True,40500,2.24,HIGH,,49500,40500,40500,40500,40500,40500,33100,33100,40500,40500,40500,40500
neck pillow,True,True,49500,1.37,HIGH,,49500,49500,49500,49500,49500,60500,49500,40500,49500,49500,49500,49500
compression socks,True,True,246000,2.5,HIGH,,301000,301000,246000,246000,246000,246000,246000,201000,246000,246000,246000,246000
ankle brace,True,True,90500,0.72,HIGH,,90500,90500,110000,90500,90500,74000,74000,74000,90500,90500,90500,90500
knee brace,True,False,,,,null search_volume,,,,,,,,,,,,
wrist brace,True,True,60500,0.49,HIGH,,60500,60500,60500,60500,60500,49500,60500,49500,60500,60500,60500,60500
back brace,True,True,49500,0.89,HIGH,,49500,49500,49500,49500,49500,40500,40500,40500,49500,49500,49500,40500
posture corrector,True,True,49500,1.43,HIGH,,74000,60500,60500,49500,49500,49500,49500,49500,60500,49500,40500,40500
heating pad,True,True,165000,0.58,HIGH,,110000,110000,135000,165000,201000,246000,201000,165000,135000,135000,135000,110000
ice pack wrap,True,True,590,1.2,HIGH,,720,590,590,590,390,480,480,390,480,590,590,590
tens unit,True,True,110000,1.64,HIGH,,135000,135000,110000,135000,110000,135000,135000,110000,110000,110000,110000,110000
blood pressure monitor,True,True,246000,2.02,HIGH,,673000,450000,165000,165000,135000,165000,165000,165000,165000,201000,135000,135000
pulse oximeter,True,True,110000,1.37,HIGH,,110000,110000,110000,110000,90500,135000,165000,135000,135000,110000,110000,110000
thermometer,True,True,201000,0.89,HIGH,,110000,201000,246000,201000,201000,246000,246000,201000,201000,165000,165000,110000
glucose monitor,True,True,74000,7.08,HIGH,,74000,74000,74000,60500,60500,74000,74000,60500,60500,60500,60500,60500
nebulizer,True,True,165000,1.1,HIGH,,110000,110000,135000,165000,201000,246000,246000,201000,201000,165000,165000,135000
humidifier filter,True,True,3600,0.55,HIGH,,1600,1900,1900,3600,5400,8100,6600,4400,2900,1900,1300,1000
air filter,True,True,60500,7.57,HIGH,,74000,60500,60500,60500,60500,60500,74000,49500,74000,60500,74000,74000
furnace filter,True,True,33100,6.27,HIGH,,33100,33100,33100,49500,49500,49500,60500,33100,27100,22200,22200,27100
water softener,True,True,110000,7.07,HIGH,,165000,135000,110000,110000,110000,110000,135000,110000,110000,110000,110000,90500
shower filter,True,True,33100,3.71,HIGH,,27100,33100,27100,27100,33100,33100,33100,33100,33100,27100,33100,27100
fridge water filter,True,True,6600,3.79,HIGH,,5400,6600,6600,6600,6600,8100,8100,6600,6600,6600,6600,4400
coffee filter,True,True,27100,0.58,HIGH,,22200,22200,27100,27100,27100,27100,27100,22200,27100,22200,22200,18100
tea infuser,True,True,33100,0.58,HIGH,,27100,27100,33100,33100,49500,60500,40500,22200,22200,18100,14800,12100
french press,True,True,110000,0.66,HIGH,,110000,110000,110000,110000,110000,135000,135000,135000,110000,110000,90500,90500
pour over,True,True,12100,0.82,HIGH,,12100,12100,12100,12100,12100,14800,14800,12100,12100,12100,12100,12100
espresso machine,True,True,368000,1.06,HIGH,,301000,368000,368000,368000,550000,550000,368000,301000,301000,301000,301000,301000
milk frother,True,True,49500,0.7,HIGH,,49500,49500,40500,49500,74000,90500,60500,40500,40500,33100,33100,33100
coffee grinder,True,True,110000,0.79,HIGH,,90500,90500,90500,90500,135000,165000,110000,90500,90500,74000,90500,74000
toaster oven,True,True,110000,0.88,HIGH,,90500,110000,90500,110000,135000,135000,110000,90500,90500,90500,90500,90500
dishwasher detergent,True,True,49500,1.43,HIGH,,60500,60500,60500,49500,49500,49500,60500,40500,40500,33100,33100,27100
trash can,True,True,165000,1.26,HIGH,,165000,201000,201000,201000,165000,165000,165000,165000,165000,165000,165000,165000
compost bin,True,True,301000,0.8,HIGH,,1000000,1500000,201000,110000,90500,74000,90500,90500,135000,165000,135000,90500
recycling bins,True,True,40500,2.1,HIGH,,40500,40500,40500,40500,40500,40500,49500,40500,49500,49500,40500,33100
storage shelves,True,True,40500,1.76,HIGH,,40500,40500,40500,40500,40500,40500,49500,33100,40500,33100,33100,33100
closet organizer,True,True,135000,3.71,HIGH,,165000,165000,135000,135000,165000,165000,165000,135000,135000,110000,135000,110000
under bed storage,True,True,33100,0.7,HIGH,,40500,49500,33100,33100,33100,33100,40500,27100,33100,33100,33100,33100
drawer organizers,True,True,40500,0.94,HIGH,,49500,49500,40500,40500,40500,49500,49500,33100,40500,33100,40500,40500
cable management,True,True,14800,1.58,HIGH,,14800,14800,14800,14800,14800,18100,14800,12100,12100,12100,12100,14800
surge bar,True,True,90500,1,HIGH,,135000,135000,110000,90500,90500,110000,110000,74000,90500,90500,90500,110000
battery charger,True,True,90500,0.65,HIGH,,90500,90500,90500,90500,90500,110000,110000,74000,90500,90500,90500,90500
aa batteries,True,True,60500,1.4,HIGH,,74000,74000,60500,74000,90500,110000,60500,49500,49500,49500,49500,49500
aaa batteries,True,True,49500,1.36,HIGH,,40500,49500,49500,49500,49500,60500,49500,40500,40500,40500,40500,33100
lithium batteries,True,True,90500,2.09,HIGH,,90500,90500,110000,110000,90500,90500,90500,60500,90500,74000,90500,74000
button batteries,True,True,14800,0.68,HIGH,,9900,9900,9900,12100,12100,33100,18100,9900,33100,12100,8100,18100
solar lights,True,True,40500,0.96,HIGH,,40500,40500,40500,49500,49500,33100,27100,22200,40500,49500,60500,49500
string lights,True,True,33100,0.91,HIGH,,33100,40500,40500,40500,60500,40500,27100,22200,27100,27100,33100,33100
fairy lights,True,True,74000,0.46,HIGH,,60500,74000,74000,74000,135000,135000,74000,60500,60500,60500,60500,60500
neon sign,True,True,40500,5.99,HIGH,,40500,49500,49500,49500,49500,49500,40500,33100,40500,33100,33100,33100
projector,True,True,135000,0.64,HIGH,,135000,165000,165000,165000,201000,201000,135000,110000,110000,110000,135000,165000
projector screen,True,True,60500,0.64,HIGH,,60500,74000,74000,60500,74000,60500,49500,40500,49500,49500,49500,74000
soundbar,True,True,40500,0.71,HIGH,,40500,40500,33100,40500,60500,60500,40500,40500,40500,33100,40500,40500
streaming stick,True,True,6600,0.4,HIGH,,8100,8100,6600,5400,5400,8100,6600,4400,4400,6600,6600,6600
chromecast,True,True,110000,1.24,HIGH,,135000,135000,135000,135000,135000,135000,135000,90500,110000,90500,110000,90500
fire stick,True,True,135000,0.91,HIGH,,135000,165000,165000,135000,165000,165000,135000,110000,110000,110000,110000,110000
roku,True,True,1000000,1.65,MEDIUM,,1000000,1000000,1000000,1000000,1220000,1000000,1220000,1000000,1000000,1000000,1000000,1000000
hdmi splitter,True,True,49500,0.38,HIGH,,49500,60500,49500,49500,49500,60500,60500,49500,49500,40500,40500,40500
av receiver,True,True,8100,0.92,HIGH,,8100,8100,8100,6600,9900,9900,9900,6600,6600,6600,6600,8100
turntable,True,True,60500,1.03,HIGH,,49500,49500,49500,110000,74000,90500,74000,60500,49500,49500,49500,40500
record player,True,True,301000,0.87,HIGH,,201000,246000,246000,301000,450000,673000,301000,246000,246000,201000,246000,201000
vinyl records,True,True,110000,0.94,HIGH,,90500,110000,110000,90500,165000,201000,135000,110000,135000,110000,90500,90500
cd player,True,True,135000,0.52,HIGH,,110000,135000,110000,135000,165000,201000,135000,110000,135000,110000,110000,110000
bluetooth adapter,True,True,14800,0.35,HIGH,,22200,22200,18100,14800,14800,18100,14800,12100,14800,12100,14800,12100
aux cable,True,True,12100,0.57,HIGH,,12100,14800,12100,12100,12100,14800,12100,9900,12100,12100,12100,12100
rca cable,True,True,40500,0.68,HIGH,,40500,49500,40500,40500,40500,49500,49500,40500,40500,40500,40500,40500
optical cable,True,True,18100,0.39,HIGH,,18100,18100,14800,14800,18100,22200,18100,14800,14800,14800,14800,14800
speaker stands,True,True,18100,0.89,HIGH,,18100,18100,18100,18100,22200,22200,18100,14800,18100,14800,18100,18100
subwoofer,True,True,90500,1.44,HIGH,,74000,74000,74000,74000,90500,90500,90500,74000,90500,90500,90500,74000
karaoke machine,True,True,74000,1.02,HIGH,,60500,60500,49500,60500,110000,165000,60500,40500,40500,40500,49500,40500
party lights,True,True,9900,0.71,HIGH,,9900,9900,12100,14800,12100,12100,9900,9900,9900,9900,9900,8100
fog machine,True,True,33100,0.66,HIGH,,18100,27100,60500,165000,27100,18100,14800,14800,14800,18100,18100,14800
balloon pump,True,True,27100,0.33,HIGH,,33100,27100,27100,33100,27100,27100,27100,27100,27100,27100,33100,33100
party decorations,True,True,22200,1.1,HIGH,,27100,27100,27100,27100,18100,18100,22200,22200,22200,22200,22200,18100
gift wrap,True,True,14800,0.81,HIGH,,8100,9900,9900,12100,22200,60500,12100,9900,8100,8100,8100,8100
gift bags,True,True,33100,1.52,HIGH,,22200,27100,27100,33100,40500,90500,27100,27100,27100,27100,33100,27100
greeting cards,True,True,40500,1.87,HIGH,,33100,49500,40500,40500,33100,49500,27100,49500,40500,33100,60500,49500
wrapping paper,True,True,60500,1.18,HIGH,,27100,27100,33100,49500,110000,301000,33100,33100,27100,27100,33100,27100
ribbons,True,True,90500,0.78,HIGH,,60500,74000,90500,110000,90500,135000,90500,90500,74000,90500,90500,74000
tissue paper,True,True,27100,3.55,HIGH,,22200,27100,27100,33100,27100,49500,27100,27100,27100,27100,27100,18100
packing tape,True,True,40500,1.72,HIGH,,40500,40500,33100,33100,33100,40500,40500,33100,33100,33100,40500,40500
moving boxes,True,True,135000,1.96,HIGH,,201000,201000,135000,135000,110000,110000,135000,135000,165000,165000,165000,165000
bubble wrap,True,True,74000,17.05,HIGH,,74000,74000,60500,60500,74000,74000,74000,60500,74000,74000,74000,74000
shipping labels,True,True,27100,6.77,HIGH,,27100,27100,27100,22200,22200,27100,27100,22200,27100,22200,22200,22200
postage scale,True,True,5400,2.53,HIGH,,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400
envelope opener,True,True,1600,1.47,HIGH,,1300,1600,1600,1600,1600,1900,1600,1600,1600,1300,1300,1300
letter tray,True,True,2400,0.74,HIGH,,2900,3600,2900,2400,1900,1900,2400,1900,1900,2400,1900,1900
file folders,True,True,33100,0.97,HIGH,,33100,49500,33100,33100,27100,27100,33100,27100,27100,27100,22200,22200
hanging folders,True,True,4400,1.29,HIGH,,4400,6600,4400,3600,2900,2900,4400,3600,4400,3600,3600,3600
binders,True,True,90500,1.27,HIGH,,110000,246000,135000,90500,74000,74000,90500,74000,74000,74000,74000,74000
sheet protectors,True,True,12100,0.65,HIGH,,18100,33100,14800,9900,8100,8100,9900,9900,9900,9900,9900,9900
index cards,True,True,33100,0.53,HIGH,,27100,74000,49500,33100,27100,27100,27100,27100,27100,27100,27100,18100
flash cards,True,True,60500,1.1,MEDIUM,,33100,60500,110000,90500,60500,60500,74000,60500,60500,60500,60500,33100
study guide,True,True,14800,4.95,LOW,,4400,9900,18100,18100,14800,18100,14800,14800,27100,22200,18100,9900
calculator,True,True,24900000,1.25,LOW,,13600000,20400000,37200000,37200000,30400000,24900000,30400000,30400000,30400000,30400000,24900000,13600000
graphing calculator,True,True,368000,0.48,LOW,,110000,368000,550000,450000,368000,301000,368000,368000,368000,450000,823000,301000
protractor,True,True,110000,0.33,HIGH,,90500,165000,135000,110000,90500,90500,110000,110000,135000,135000,110000,60500
compass set,True,True,390,0.28,HIGH,,390,590,480,390,320,320,320,260,320,320,320,320
geometry set,True,True,1300,0.25,HIGH,,1600,3600,1600,880,720,1000,1000,880,720,720,720,590
backpack kids,True,False,,,,null search_volume,,,,,,,,,,,,
lunch bag,True,True,49500,0.46,HIGH,,60500,74000,49500,40500,40500,40500,40500,40500,40500,40500,40500,40500
water bottle kids,True,False,,,,null search_volume,,,,,,,,,,,,
thermos kids,True,False,,,,null search_volume,,,,,,,,,,,,
pencil case,True,True,40500,0.39,HIGH,,90500,135000,40500,33100,33100,33100,33100,27100,27100,27100,27100,33100
crayon box,True,True,9900,0.35,HIGH,,14800,22200,12100,12100,12100,6600,8100,8100,8100,8100,8100,8100
glue sticks,True,True,40500,0.52,HIGH,,40500,74000,40500,40500,33100,33100,33100,33100,33100,33100,33100,27100
scissors kids,True,False,,,,null search_volume,,,,,,,,,,,,
construction paper,True,True,33100,0.55,HIGH,,27100,49500,33100,40500,40500,33100,33100,40500,27100,27100,27100,22200
poster board,True,True,74000,0.71,HIGH,,40500,60500,90500,110000,74000,74000,74000,90500,74000,90500,90500,40500
science kit,True,True,5400,1.52,HIGH,,3600,4400,4400,4400,9900,12100,3600,3600,3600,3600,3600,2900
robot kit,True,True,5400,1.7,HIGH,,4400,5400,5400,5400,8100,9900,5400,5400,5400,4400,4400,3600
coding toy,True,True,480,1.8,HIGH,,260,260,210,480,1000,1000,320,260,390,320,320,260
drone kids,True,False,,,,null search_volume,,,,,,,,,,,,
rc car,True,True,135000,0.4,HIGH,,135000,135000,135000,135000,246000,301000,135000,110000,110000,110000,110000,110000
hot wheels,True,True,201000,0.39,HIGH,,201000,201000,201000,201000,246000,301000,201000,201000,201000,165000,201000,165000
action figures,True,True,74000,0.24,HIGH,,74000,74000,74000,60500,90500,90500,60500,74000,74000,74000,74000,74000
barbie dolls,True,True,90500,0.24,HIGH,,90500,90500,90500,110000,135000,135000,74000,60500,74000,60500,74000,60500
stuffed animals,True,True,90500,1.16,HIGH,,74000,90500,90500,90500,135000,135000,90500,90500,90500,74000,74000,60500
plush toy,True,True,60500,1,MEDIUM,,60500,201000,201000,27100,33100,27100,14800,14800,22200,40500,40500,49500
building blocks,True,True,33100,0.77,HIGH,,22200,27100,33100,33100,33100,40500,33100,27100,33100,33100,27100,22200
magnetic tiles,True,True,33100,0.65,HIGH,,22200,33100,27100,33100,60500,74000,33100,27100,33100,22200,22200,22200
slime kit,True,True,18100,0.37,HIGH,,14800,14800,12100,14800,33100,49500,14800,12100,14800,12100,12100,12100
kinetic sand,True,True,60500,0.35,HIGH,,49500,60500,60500,60500,74000,90500,60500,49500,60500,60500,60500,49500
play tent,True,True,4400,0.75,HIGH,,3600,3600,3600,4400,6600,8100,3600,2900,3600,2900,3600,2900
trampoline,True,True,246000,1.72,HIGH,,246000,246000,201000,201000,301000,301000,201000,201000,368000,301000,301000,301000
scooter,True,True,550000,0.78,HIGH,,550000,550000,550000,550000,550000,550000,450000,450000,550000,550000,673000,550000
skateboard,True,True,246000,0.46,HIGH,,201000,246000,301000,368000,301000,301000,246000,201000,246000,246000,246000,165000
roller skates,True,True,201000,0.57,HIGH,,201000,201000,165000,165000,201000,246000,301000,246000,246000,201000,201000,165000
hoverboard,True,True,135000,0.62,HIGH,,135000,135000,110000,135000,201000,301000,135000,90500,110000,90500,110000,110000
balance bike,True,True,49500,2.23,HIGH,,40500,49500,49500,40500,60500,60500,33100,27100,49500,49500,49500,49500
bike helmet kids,True,False,,,,null search_volume,,,,,,,,,,,,
knee pads,True,True,49500,0.61,HIGH,,49500,60500,60500,49500,49500,40500,49500,40500,49500,49500,49500,49500
elbow pads,True,True,8100,0.43,HIGH,,9900,9900,9900,8100,8100,8100,8100,6600,8100,8100,8100,8100
wrist guards,True,True,5400,0.58,HIGH,,5400,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,4400
soccer ball,True,True,450000,0.35,HIGH,,165000,673000,673000,550000,368000,368000,450000,368000,368000,368000,450000,368000
basketball,True,True,1220000,0.59,MEDIUM,,450000,1220000,1220000,1220000,1220000,1220000,1500000,1220000,1500000,1220000,1220000,1000000
football,True,True,1220000,1.03,LOW,,450000,1500000,2740000,1830000,1500000,1500000,1830000,1000000,673000,550000,673000,673000
volleyball,True,True,550000,0.54,MEDIUM,,368000,1000000,1000000,673000,550000,450000,673000,450000,550000,550000,550000,368000
tennis racket,True,True,110000,0.76,HIGH,,110000,135000,135000,90500,90500,90500,110000,90500,110000,110000,110000,110000
badminton set,True,True,12100,0.4,HIGH,,18100,12100,9900,6600,6600,8100,4400,5400,12100,14800,22200,27100
pickleball paddles,True,True,301000,1.34,HIGH,,368000,450000,301000,246000,246000,246000,201000,301000,450000,368000,368000,301000
golf balls,True,True,110000,1.8,HIGH,,110000,135000,110000,90500,110000,110000,60500,74000,90500,110000,110000,90500
golf tees,True,True,27100,1.07,HIGH,,33100,33100,27100,27100,33100,40500,22200,22200,27100,33100,33100,27100
golf glove,True,True,27100,1.39,HIGH,,40500,40500,27100,22200,33100,33100,14800,18100,22200,33100,33100,33100
baseball glove,True,True,90500,0.56,HIGH,,74000,110000,135000,90500,90500,60500,60500,90500,110000,135000,135000,90500
bat,True,True,368000,0.84,LOW,,301000,368000,450000,823000,368000,301000,301000,301000,368000,368000,368000,301000
catchers mitt,True,True,22200,0.55,HIGH,,22200,18100,22200,22200,18100,14800,12100,18100,27100,33100,33100,27100
hockey stick,True,True,49500,0.94,HIGH,,22200,33100,49500,49500,60500,60500,60500,74000,49500,49500,40500,27100
puck,True,True,40500,9.42,LOW,,33100,27100,33100,60500,33100,33100,33100,74000,33100,33100,33100,27100
swim fins,True,True,6600,1.02,HIGH,,9900,8100,8100,6600,5400,5400,6600,5400,6600,6600,8100,8100
kickboard,True,True,14800,0.46,HIGH,,8100,18100,22200,18100,14800,12100,12100,12100,14800,12100,12100,8100
pool noodles,True,True,90500,0.39,HIGH,,90500,90500,90500,135000,110000,74000,74000,60500,74000,60500,74000,74000
pool float,True,True,33100,1.55,HIGH,,90500,40500,18100,12100,9900,12100,14800,14800,33100,33100,60500,90500
inflatable pool,True,True,49500,0.39,HIGH,,135000,49500,22200,12100,6600,6600,9900,12100,60500,60500,110000,165000
sand toys,True,True,6600,0.42,HIGH,,9900,8100,4400,3600,3600,4400,3600,4400,9900,8100,9900,9900
kites,True,True,110000,0.49,HIGH,,74000,90500,110000,135000,90500,90500,110000,135000,201000,165000,135000,90500
frisbee,True,True,49500,0.98,HIGH,,49500,49500,49500,49500,40500,33100,40500,40500,49500,49500,60500,49500
boomerang,True,True,110000,0.42,LOW,,135000,135000,110000,110000,110000,110000,110000,110000,135000,110000,135000,110000
hacky sack,True,True,246000,0.53,HIGH,,40500,40500,40500,40500,40500,40500,40500,40500,49500,368000,1830000,301000
cornhole set,True,True,22200,1.67,HIGH,,49500,22200,18100,14800,18100,18100,9900,12100,27100,22200,33100,27100
bean bags,True,True,90500,0.97,HIGH,,90500,110000,90500,90500,110000,135000,90500,74000,74000,74000,74000,74000
dart board,True,True,49500,0.72,HIGH,,40500,40500,40500,49500,60500,90500,74000,49500,49500,49500,49500,40500
poker chips,True,True,49500,1.79,HIGH,,49500,49500,40500,40500,49500,49500,49500,49500,49500,49500,40500,33100
playing cards,True,True,90500,0.74,HIGH,,74000,74000,90500,90500,90500,90500,90500,90500,74000,74000,74000,60500
uno cards,True,True,49500,0.31,HIGH,,60500,49500,49500,60500,49500,60500,49500,40500,49500,49500,60500,40500
jigsaw puzzle,True,True,246000,2,MEDIUM,,201000,246000,301000,301000,301000,301000,246000,246000,246000,246000,246000,201000
crossword book,True,True,9900,0.62,HIGH,,8100,22200,6600,27100,8100,12100,6600,6600,5400,6600,5400,5400
sudoku book,True,True,6600,0.4,HIGH,,5400,5400,6600,6600,8100,12100,8100,6600,6600,5400,5400,5400
coloring book,True,True,74000,0.61,HIGH,,60500,74000,74000,90500,110000,110000,74000,60500,74000,49500,60500,60500
adult coloring,True,True,2900,1.45,HIGH,,2900,2900,2900,2900,2900,3600,3600,2900,2900,2900,2400,2400
paint by numbers,True,True,74000,2.8,HIGH,,60500,74000,74000,74000,90500,135000,90500,74000,74000,60500,60500,49500
diamond painting,True,True,90500,0.82,HIGH,,74000,74000,74000,90500,110000,135000,165000,110000,110000,74000,74000,90500
embroidery kit,True,True,27100,1.1,HIGH,,22200,22200,22200,27100,40500,49500,40500,27100,22200,18100,18100,18100
knitting needles,True,True,49500,0.66,HIGH,,33100,74000,60500,74000,74000,90500,74000,33100,27100,18100,22200,18100
yarn,True,True,110000,0.82,HIGH,,90500,110000,110000,135000,135000,165000,165000,135000,110000,90500,90500,90500
crochet hooks,True,True,74000,0.48,HIGH,,60500,165000,60500,90500,110000,110000,90500,60500,49500,40500,40500,27100
sewing machine,True,True,246000,0.69,HIGH,,165000,201000,201000,246000,301000,301000,246000,201000,201000,201000,201000,165000
thread,True,True,450000,0.45,LOW,,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000
fabric,True,True,165000,0.71,HIGH,,165000,165000,165000,201000,201000,201000,201000,165000,165000,165000,201000,165000
buttons,True,True,135000,1.97,MEDIUM,,90500,110000,135000,201000,135000,135000,135000,135000,135000,135000,135000,110000
zipper,True,True,49500,0.47,HIGH,,40500,49500,49500,49500,49500,60500,49500,49500,74000,49500,49500,40500
patches,True,True,90500,3.83,HIGH,,74000,90500,74000,90500,74000,74000,90500,90500,165000,110000,90500,74000
iron on vinyl,True,True,9900,2.17,HIGH,,8100,9900,9900,14800,8100,9900,8100,6600,8100,8100,8100,8100
cricut tools,True,True,2400,0.46,HIGH,,2400,2400,2400,2400,2400,3600,2900,2400,2400,1900,1900,1900
heat press,True,True,27100,1.73,HIGH,,27100,33100,33100,33100,33100,33100,33100,27100,27100,27100,27100,27100
sublimation blanks,True,True,8100,1.75,HIGH,,9900,12100,12100,9900,8100,9900,8100,6600,6600,6600,6600,5400
resin molds,True,True,18100,0.73,HIGH,,18100,18100,18100,22200,18100,18100,18100,22200,18100,14800,14800,14800
epoxy resin,True,True,49500,1.1,HIGH,,49500,49500,49500,49500,49500,60500,60500,60500,49500,49500,49500,40500
clay tools,True,True,4400,0.55,HIGH,,2900,4400,5400,5400,5400,5400,4400,4400,4400,4400,4400,2900
pottery wheel,True,True,49500,0.72,HIGH,,40500,40500,49500,49500,60500,60500,49500,49500,49500,49500,40500,33100
kiln,True,True,110000,1.12,LOW,,74000,90500,90500,90500,90500,90500,110000,90500,90500,246000,110000,90500
3d printer filament,True,True,135000,1.11,HIGH,,90500,110000,110000,110000,165000,246000,246000,201000,165000,135000,110000,110000
3d printer,True,True,823000,1.13,HIGH,,450000,550000,673000,673000,1000000,1220000,1000000,823000,1000000,1000000,1500000,1000000
arduino kit,True,True,5400,1.09,HIGH,,3600,4400,5400,6600,6600,6600,5400,5400,5400,5400,5400,4400
raspberry pi,True,True,201000,0.56,HIGH,,165000,165000,165000,201000,201000,246000,246000,201000,246000,246000,201000,201000
breadboard,True,True,27100,0.61,HIGH,,18100,22200,33100,33100,27100,27100,33100,33100,33100,27100,22200,18100
jumper wires,True,True,6600,0.54,HIGH,,6600,6600,6600,8100,6600,6600,8100,8100,8100,8100,6600,6600
led strips,True,True,12100,1.2,HIGH,,9900,12100,12100,12100,14800,14800,12100,9900,9900,9900,9900,9900
servo motors,True,True,18100,2.58,MEDIUM,,14800,14800,18100,22200,18100,18100,14800,18100,18100,18100,14800,12100
sensors kit,True,True,170,0.46,HIGH,,170,170,170,210,170,210,170,170,170,170,140,170
multimeter,True,True,110000,0.45,HIGH,,90500,110000,110000,110000,110000,110000,110000,90500,110000,110000,90500,110000
soldering iron,True,True,110000,0.51,HIGH,,90500,90500,110000,110000,110000,110000,110000,90500,110000,90500,90500,74000
solder,True,True,90500,0.79,MEDIUM,,74000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,74000
helping hands,True,True,90500,5.87,LOW,,90500,90500,90500,90500,90500,90500,90500,74000,90500,74000,74000,74000
magnifier,True,True,27100,1.05,MEDIUM,,22200,49500,27100,27100,27100,27100,22200,22200,22200,22200,22200,22200
headlamp rechargeable,True,True,2900,1.17,HIGH,,1900,1900,2400,3600,4400,5400,2900,2400,2400,1900,1600,1900
work gloves,True,True,22200,1.89,HIGH,,18100,27100,22200,22200,27100,33100,18100,14800,18100,18100,18100,18100
safety glasses,True,True,60500,2.88,HIGH,,49500,74000,74000,60500,40500,40500,60500,49500,60500,60500,49500,49500
ear muffs,True,True,60500,1.1,HIGH,,22200,22200,27100,49500,110000,201000,90500,40500,27100,22200,18100,18100
knee pads work,True,True,9900,0.6,HIGH,,9900,9900,9900,8100,8100,8100,9900,8100,9900,9900,9900,9900
tool bag,True,True,33100,0.67,HIGH,,33100,33100,33100,33100,40500,40500,33100,33100,40500,27100,27100,33100
socket set,True,True,49500,0.67,HIGH,,40500,49500,40500,49500,60500,60500,40500,40500,49500,40500,40500,49500
wrench set,True,True,27100,0.6,HIGH,,22200,22200,22200,22200,27100,27100,22200,22200,33100,22200,22200,22200
pliers set,True,True,8100,0.74,HIGH,,8100,8100,8100,8100,9900,9900,8100,6600,8100,6600,5400,6600
hammer,True,True,110000,0.62,HIGH,,90500,110000,135000,135000,110000,110000,135000,110000,135000,135000,110000,90500
mallet,True,True,40500,0.52,MEDIUM,,27100,60500,40500,40500,33100,33100,33100,33100,40500,135000,33100,27100
utility knife,True,True,40500,1.13,HIGH,,40500,49500,49500,60500,49500,49500,49500,40500,40500,40500,40500,40500
box cutter,True,True,40500,1.37,HIGH,,33100,40500,40500,40500,40500,40500,40500,33100,33100,33100,40500,33100
duct tape,True,True,74000,1.28,HIGH,,74000,90500,74000,90500,74000,74000,74000,60500,74000,74000,74000,74000
masking tape,True,True,60500,1.46,HIGH,,60500,74000,60500,60500,49500,60500,60500,49500,49500,49500,60500,49500
painter tape,True,True,2900,0.91,HIGH,,2900,3600,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
zip ties,True,True,90500,3.31,HIGH,,90500,90500,90500,110000,90500,90500,74000,74000,90500,90500,90500,90500
velcro straps,True,True,27100,0.89,HIGH,,27100,33100,27100,33100,27100,27100,27100,22200,27100,27100,27100,27100
hooks,True,True,201000,0.89,LOW,,201000,246000,201000,201000,201000,201000,201000,201000,246000,201000,201000,201000
command strips,True,True,60500,0.69,HIGH,,74000,110000,74000,60500,74000,74000,60500,40500,49500,49500,49500,60500
wall anchors,True,True,22200,0.48,HIGH,,27100,27100,22200,22200,22200,22200,27100,18100,22200,22200,22200,22200
screws,True,True,74000,1.25,HIGH,,60500,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,60500
nails,True,True,1000000,0.47,HIGH,,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1000000
wood glue,True,True,40500,0.52,HIGH,,49500,40500,40500,40500,40500,40500,49500,40500,49500,40500,40500,40500
super glue,True,True,49500,0.65,HIGH,,49500,49500,49500,60500,60500,60500,49500,49500,49500,49500,49500,49500
epoxy,True,True,74000,1.48,HIGH,,74000,74000,90500,90500,90500,90500,90500,74000,74000,74000,74000,74000
caulk,True,True,90500,0.54,HIGH,,90500,90500,90500,90500,90500,74000,90500,74000,90500,90500,90500,90500
caulk gun,True,True,60500,0.94,LOW,,74000,74000,74000,74000,74000,60500,60500,49500,60500,60500,60500,60500
paint tray,True,True,6600,0.54,HIGH,,6600,6600,6600,6600,5400,5400,6600,5400,6600,6600,6600,5400
drop cloth,True,True,14800,0.75,HIGH,,14800,14800,27100,14800,12100,9900,12100,12100,12100,14800,14800,12100
